variable,category,subcommunity,community,prop,min_ci,max_ci
Ancestry,EUR,C1_0,C1,0.9092150170648464,0.8934128837760182,0.9228766330786242
Ancestry,EUR-AFR,C1_0,C1,0.050511945392491465,0.04042620187912166,0.06294886592941534
Ancestry,EUR-AMR,C1_0,C1,0.024573378839590442,0.017802077934945634,0.03383153592784256
Ancestry,Others,C1_0,C1,0.012286689419795221,0.007785854310192897,0.019338649788819544
Ancestry,EUR-EAS,C1_0,C1,0.0020477815699658703,0.0006966569365621741,0.006003589025970476
Ancestry,,C1_0,C1,0.0006825938566552901,0.00012050164076947856,0.0038565099035658664
Ancestry,EAS,C1_0,C1,0.0006825938566552901,0.00012050164076947856,0.0038565099035658664
Ancestry,EUR,C1_1,C1,0.903010033444816,0.8818891675472295,0.9206936616649205
Ancestry,EUR-AFR,C1_1,C1,0.056856187290969896,0.04350631654931619,0.07398559323815364
Ancestry,EUR-AMR,C1_1,C1,0.030100334448160536,0.02076782928495897,0.04344057316892415
Ancestry,Others,C1_1,C1,0.005574136008918618,0.0023831829204899032,0.012982004477605388
Ancestry,,C1_1,C1,0.002229654403567447,0.0006116519545936653,0.008093097026803284
Ancestry,AFR,C1_1,C1,0.0011148272017837235,0.00019681642663105193,0.0062877864158664525
Ancestry,EUR-EAS,C1_1,C1,0.0011148272017837235,0.00019681642663105193,0.0062877864158664525
Ancestry,EUR,C1_2,C1,0.9168730102582243,0.9061215004696047,0.9264930831227799
Ancestry,EUR-AFR,C1_2,C1,0.048814998231340646,0.04146576823870527,0.057388791479507144
Ancestry,EUR-AMR,C1_2,C1,0.022638839759462327,0.017768833877584083,0.028804453727063233
Ancestry,Others,C1_2,C1,0.00955076052352317,0.006572142461613294,0.01386050908625148
Ancestry,EUR-EAS,C1_2,C1,0.0014149274849663955,0.0005503620546385541,0.0036327049173884214
Ancestry,EAS,C1_2,C1,0.0007074637424831977,0.00019402945795688668,0.002576030159649411
Ancestry,EUR,C1_3,C1,0.9020791415157612,0.8859437357275283,0.9161479373969018
Ancestry,EUR-AFR,C1_3,C1,0.07042253521126761,0.058509099636734285,0.0845439168166478
Ancestry,EUR-AMR,C1_3,C1,0.018108651911468814,0.012474771235482747,0.026219361975688263
