,Community,GENDER_MALE,GENDER_FEMALE,GENDER_UNKNOWN,A19_SES_RISK_Medium-High,A19_SES_RISK_Low-Medium,A19_SES_RISK_High,A19_SES_RISK_Low,A9_SVI_Medium-High,A9_SVI_Low-Medium,A9_SVI_Low,A9_SVI_High,A13_URBAN_Rural,A13_URBAN_Urban,A14_METRO_Metropolitan,A14_METRO_Non-metropolitan,Influenza virus_No,Influenza virus_Yes,Dermatitis_No,Dermatitis_Yes,Asthma_No,Asthma_Yes,Epilepsy_No,Epilepsy_Yes,A1_PPOV_mean,A1_PPOV_std,A1_PPOV_count,A17_UNEMPLOY_mean,A17_UNEMPLOY_std,A17_UNEMPLOY_count,A27_PM25_mean,A27_PM25_std,A27_PM25_count,A10_CRD_OBESITY_mean,A10_CRD_OBESITY_std,A10_CRD_OBESITY_count,A12_CRD_CSMOKING_mean,A12_CRD_CSMOKING_std,A12_CRD_CSMOKING_count,Distinct_P_FIN_Count_mean,Distinct_P_FIN_Count_std,Distinct_P_FIN_Count_count
0,C1a,0.5044920525224602,0.47131997235659984,0.024187975120939877,0.3411949685534591,0.2665094339622642,0.21226415094339623,0.1800314465408805,0.32075471698113206,0.27672955974842767,0.2209119496855346,0.18160377358490565,0.5542452830188679,0.44575471698113206,0.6108490566037735,0.3891509433962264,0.7440273037542662,0.25597269624573377,0.967235494880546,0.032764505119453925,0.9017064846416383,0.09829351535836177,0.8587030716723549,0.14129692832764504,13.04252358490566,9.044897323022658,1272,5.360659694288013,3.623919269078834,1243,49.757075471698116,20.25995372350695,1272,39.02397798742138,4.556725143925252,1272,18.634591194968554,4.904929198119902,1272,16.031484257871064,24.14284008619811,1334
1,C1b,0.5370786516853933,0.43820224719101125,0.024719101123595506,0.3549618320610687,0.23027989821882952,0.23536895674300254,0.17938931297709923,0.3244274809160305,0.2340966921119593,0.23791348600508905,0.2035623409669211,0.5038167938931297,0.4961832061068702,0.6183206106870229,0.3816793893129771,0.7536231884057971,0.2463768115942029,0.9698996655518395,0.030100334448160536,0.9175027870680045,0.08249721293199554,0.8651059085841695,0.13489409141583056,13.76005089058524,9.557869162493448,786,5.660892388451444,4.079762333840696,762,50.56488549618321,22.23313619394978,786,39.036259541984734,4.853249827614487,786,18.63562340966921,5.000492019680745,786,15.032967032967033,25.276952737997533,819
2,C1c,0.5151407196294977,0.4627716423227645,0.0220876380477378,0.3465386154461785,0.26810724289715887,0.20248099239695877,0.18287314925970388,0.31012404961984796,0.272108843537415,0.23689475790316125,0.18087234893957582,0.4973989595838335,0.5026010404161665,0.6434573829531812,0.3565426170468187,0.7506190307746728,0.2493809692253272,0.9702865228157057,0.029713477184294304,0.9119207640608419,0.08807923593915812,0.8609833746020517,0.13901662539794835,13.321100440176071,9.517819839917113,2499,5.463452822414503,3.8777340308582176,2427,50.9139655862345,20.354312552183956,2499,38.91232492997199,4.631863068058874,2499,18.46922769107643,5.041039883820174,2499,15.405142189326062,25.130002223225556,2567
3,C1d,0.5231292517006803,0.4489795918367347,0.027891156462585033,0.370398773006135,0.2584355828220859,0.21395705521472394,0.15720858895705522,0.32745398773006135,0.26380368098159507,0.20475460122699388,0.20398773006134968,0.5253067484662577,0.4746932515337423,0.6165644171779141,0.3834355828220859,0.7290409121395037,0.27095908786049633,0.9698189134808853,0.030181086519114688,0.9061032863849765,0.09389671361502347,0.8558014755197854,0.1441985244802146,13.86364263803681,9.235169613373317,1304,5.569066455696203,3.792907129890744,1264,51.16104294478528,21.079977460074854,1304,39.25851226993865,4.564833168090274,1304,18.68650306748466,4.941092938557787,1304,15.266165413533834,24.162040408915242,1330
4,C2a,0.5329545454545455,0.4193181818181818,0.04772727272727273,0.1877496671105193,0.118508655126498,0.6524633821571239,0.041278295605858856,0.2303595206391478,0.1478029294274301,0.05193075898801598,0.5699067909454061,0.19440745672436752,0.8055925432756325,0.7669773635153129,0.23302263648468707,0.7213822894168467,0.2786177105831533,0.9092872570194385,0.09071274298056156,0.8412526997840173,0.1587473002159827,0.9006479481641468,0.09935205183585313,25.84965379494008,14.731116676839163,751,10.591034482758621,7.476075258879726,725,81.96271637816245,17.15206327952368,751,47.013315579227694,6.369381638663492,751,22.970039946737682,6.173476157325692,751,20.451898734177217,30.192615120209165,790
5,C2b,0.5032175032175032,0.4588159588159588,0.03796653796653797,0.1917808219178082,0.11175198269646719,0.6560922855082912,0.04037490987743331,0.24152847873107425,0.1240086517664023,0.05118961788031723,0.5832732516222062,0.1490280777537797,0.8509719222462203,0.8740100791936645,0.1259899208063355,0.7092241905925474,0.2907758094074527,0.9065363469761759,0.09346365302382406,0.8368967623701894,0.16310323762981063,0.916310323762981,0.08368967623701894,24.70331651045422,14.339906354134511,1387,10.437336244541484,7.175365249294494,1374,78.65730741540676,21.921507840503313,1389,46.74726224783861,6.153990012674183,1388,23.42485590778098,6.00852869398666,1388,20.039776692254012,28.08032588176419,1433
6,C2i,0.49696969696969695,0.47878787878787876,0.024242424242424242,0.18666666666666668,0.10666666666666667,0.6866666666666666,0.02,0.22,0.1,0.03333333333333333,0.6466666666666666,0.11920529801324503,0.8807947019867549,0.8079470198675497,0.19205298013245034,0.7134831460674157,0.28651685393258425,0.8932584269662921,0.10674157303370786,0.7528089887640449,0.24719101123595505,0.8820224719101124,0.11797752808988764,25.76813333333333,14.083549277456992,150,11.534666666666666,7.32801910355745,150,81.7748344370861,18.071403629465888,151,47.16622516556291,5.977389479443552,151,23.53708609271523,5.939210002394142,151,22.807947019867548,34.05793402068268,151
7,C2c,0.5107227958697379,0.46386020651310567,0.025416997617156472,0.1495575221238938,0.09115044247787611,0.7176991150442478,0.0415929203539823,0.19469026548672566,0.11415929203539824,0.04601769911504425,0.6451327433628319,0.121131741821397,0.878868258178603,0.9071618037135278,0.09283819628647215,0.6940298507462687,0.30597014925373134,0.8955223880597015,0.1044776119402985,0.8164179104477612,0.18358208955223881,0.8873134328358209,0.1126865671641791,25.949654867256637,14.688136411869083,1130,10.898306595365419,7.532952691714129,1122,84.19274977895668,16.638796239756367,1131,47.41273209549072,6.171297869679055,1131,23.565605658709107,6.162239569619462,1131,20.374570446735394,27.705810598427334,1164
8,C2d,0.5339805825242718,0.42394822006472493,0.042071197411003236,0.19402985074626866,0.0708955223880597,0.6977611940298507,0.03731343283582089,0.2462686567164179,0.09701492537313433,0.033582089552238806,0.6231343283582089,0.17537313432835822,0.8246268656716418,0.7835820895522388,0.21641791044776118,0.7329192546583851,0.2670807453416149,0.9161490683229814,0.08385093167701864,0.8509316770186336,0.14906832298136646,0.937888198757764,0.062111801242236024,27.118358208955225,14.73138003019582,268,10.559923664122136,7.2596320475224445,262,83.56343283582089,16.522136058385477,268,47.17388059701493,5.921995173261413,268,23.497014925373133,5.477026453406261,268,18.05,23.258659311639395,280
9,C2e,0.5188866799204771,0.45129224652087474,0.02982107355864811,0.15765765765765766,0.1373873873873874,0.6644144144144144,0.04054054054054054,0.25900900900900903,0.09684684684684684,0.0518018018018018,0.5923423423423423,0.23873873873873874,0.7612612612612613,0.6914414414414415,0.30855855855855857,0.7172675521821632,0.2827324478178368,0.9013282732447818,0.09867172675521822,0.8311195445920304,0.16888045540796964,0.8842504743833017,0.1157495256166983,24.91768018018018,13.58433124333457,444,9.935990888382687,6.772987467343599,439,79.13513513513513,16.61160979229299,444,45.45968468468468,6.047764797225833,444,23.212612612612613,5.838892209429751,444,19.68122270742358,29.190443061327365,458
